"uuid","handle","rights","interdis","filepath","wos","scopus","pubmed","trdizin","yoktez","scopus_q","wos_q","issn","ispartof","auth_aff","author0","authority0","ou0","author1","authority1","ou1","author2","authority2","ou2","author3","authority3","ou3","author4","authority4","ou4","author5","authority5","ou5","author6","authority6","ou6","author7","authority7","ou7","author8","authority8","ou8","author9","authority9","ou9","author10","authority10","ou10","advisor0","advisor_authority0","ou_adv0","advisor1","advisor_authority1","ou_adv1","subject0","subject1","subject2","subject3","subject4","subject5","abstract","title","date","type","relation","fund","scopus_citation","wos_citation","views","downloads","google_num_citations","google_cites_per_year","plumcapture","plumcategorytotals","mendeley_readcount","mendeley_readers","citesperdoc2years","sjr"
"fff686d6-c1b3-4a4c-bbda-07963a1e8c73","11147/7250","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/7250/1/7250.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4th International Water Congress",NULL,"Gören, Ayşegül Yağmur","rp01781",15,"Genişoğlu, Mesut","rp02300",15,"Balcı, Esin",NULL,NULL,"Ökten, Hatice Eser","rp00272",15,"Baba, Alper","rp00082",19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Groundwater","Nitrate","Menemen sub-basin","Fertilizer",NULL,NULL,"Groundwater is an essential drinking water source in Menemen sub­basin of  İzmir city, Turkey. The aim of this study  was  to  investigate  the  groundwater  contamination  by  nitrates  of  agricultural  lands.  For  this  purpose,  we  evaluated variations of groundwater pH, redox potential, electrical conductivity (EC), major anions (NO3, Cl, SO4, HCO3 and CO3) and cations (Na, K, Ca and Mg). A statistical correlation procedure and piper diagram for hydrogeochemistry of groundwater were also applied. Nitrate levels were found to be higher around agricultural areas. Also EC values and Cl­ were measured to be higher as proximity to coastal areas increased, indicating seawater intrusion. Agricultural activities and excessive freshwater withdrawal were shown to impair groundwater quality and quantity at Menemen sub­basin.","Groundwater pollution by nitrate from agricultural fertilizers: The case of Menemen Basin (Aegean Region, Turkey)","2017","Conference Object",NULL,NULL,NULL,NULL,"218","40","0","{}",NULL,NULL,NULL,NULL,NULL,NULL
"aa76e1c0-a069-4c03-be6a-2d64ca9d85f6","11147/4488","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/4488/1/4488.pdf","WOS:A1995RQ91000009","2-s2.0-0028835935",NULL,NULL,NULL,NULL,NULL,"1573-6784","Biotechnology Techniques",NULL,"Harsa, Hayriye Şebnem","rp00075",18,"Göksungur, Yekta",NULL,NULL,"Güvenç, Ulgar",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lactase","Adsorption isotherm","Langmuir model",NULL,NULL,NULL,"Partitioning behaviour and adsorption isotherms of lactase/CM-Sephadex system at equilibrium were investigated together with the adsorption kinetics in this study. Maximum adsorption was obtained at the pH values between 5.5–6.0. Adsorption isotherm was a close fit to the Langmuir model.","Adsorption equilibrium and dynamics of lactase/CM-Sephadex system","1995-08","Article",NULL,NULL,"0","0","1432","150",NULL,NULL,"{""(READER_COUNT,1)""}","{""(capture,1)"",""(usage,3)""}",1,"{'Professor': 1}",NULL,NULL
"920d2816-4b4a-4517-8fb2-93bdb3086910","11147/10608","info:eu-repo/semantics/openAccess",NULL,NULL,"WOS:000340574000001",NULL,"25814906",NULL,NULL,"Q1",NULL,"1434-6052","European Physical Journal C",NULL,"Karapınar, Güler","rp01849",11,"CMS Collaboration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"A search for invisible decays of Higgs bosons is performed using the vector boson fusion and associated ZH production modes. In the ZH mode, the Z boson is required to decay to a pair of charged leptons or a bb quark pair. The searches use the 8TeV pp collision dataset collected by the CMS detector at the LHC, corresponding to an integrated luminosity of up to 19.7 fb(-1). Certain channels include data from 7TeV collisions corresponding to an integrated luminosity of 4.9 fb(-1).The searches are sensitive to non-standardmodel invisible decays of the recently observed Higgs boson, as well as additional Higgs bosons with similar production modes and large invisible branching fractions. In all channels, the observed data are consistent with the expected standard model backgrounds. Limits are set on the production cross section times invisible branching fraction, as a function of the Higgs boson mass, for the vector boson fusion and ZH production modes. By combining all channels, and assuming standard model Higgs boson cross sections and acceptances, the observed (expected) upper limit on the invisible branching fraction at m(H) = 125GeV is found to be 0.58 (0.44) at 95% confidence level. We interpret this limit in terms of a Higgs-portal model of dark matter interactions.","Search for invisible decays of Higgs bosons in the vector boson fusion and associated ZH production modes","2014","Article",NULL,"We congratulate our colleagues in the CERN accelerator departments for the excellent performance of the LHC and thank the technical and administrative staffs at CERN and at other CMS institutes for their contributions to the success of the CMS effort. In addition, we gratefully acknowledge the computing centres and personnel of the Worldwide LHC Computing Grid for delivering so effectively the computing infrastructure essential to our analyses.; r Finally, we acknowledge the enduring support for the construction and operation of the LHC and the CMS detector provided by the following funding agencies: the Austrian Federal Ministry of Science and Research and the Austrian Science Fund; the Belgian Fonds de la Recherche Scientifique, and Fonds voor Wetenschappelijk Onderzoek; the Brazilian Funding Agencies (CNPq, CAPES, FAPERJ, and FAPESP); the Bulgarian Ministry of Education and Science; CERN; the Chinese Academy of Sciences, Ministry of Science and Technology, and National Natural Science Foundation of China; the Colombian Funding Agency (COLCIENCIAS); the Croatian Ministry of Science, Education and Sport, and the Croatian Science Foundation; the Research Promotion Foundation, Cyprus; the Ministry of Education and Research, Recurrent financing contract SF0690030s09 and European Regional Development Fund, Estonia; the Academy of Finland, Finnish Ministry of Education and Culture, and Helsinki Institute of Physics; the Institut National de Physique Nucleaire et de Physique des Particules / CNRS, and Commissariat a l'Energie Atomique et aux Energies Alternatives / CEA, France; the Bundesministerium fur Bildung und Forschung, Deutsche Forschungsgemeinschaft, and Helmholtz-Gemeinschaft Deutscher Forschungszentren, Germany; the General Secretariat for Research and Technology, Greece; the National Scientific Research Foundation, and National Innovation Office, Hungary; the Department of Atomic Energy and the Department of Science and Technology, India; the Institute for Studies in Theoretical Physics and Mathematics, Iran; the Science Foundation, Ireland; the Istituto Nazionale di Fisica Nucleare, Italy; the Korean Ministry of Education, Science and Technology and the World Class University program of NRF, Republic of Korea; the Lithuanian Academy of Sciences; the Ministry of Education, and University of Malaya (Malaysia); the Mexican Funding Agencies (CINVESTAV, CONACYT, SEP, and UASLP-FAI); the Ministry of Business, Innovation and Employment, New Zealand; the Pakistan Atomic Energy Commission; the Ministry of Science and Higher Education and the National Science Centre, Poland; the Fundacao para a Ciencia e a Tecnologia, Portugal; JINR, Dubna; the Ministry of Education and Science of the Russian Federation, the Federal Agency of Atomic Energy of the Russian Federation, Russian Academy of Sciences, and the Russian Foundation for Basic Research; the Ministry of Education, Science and Technological Development of Serbia; the Secretaria de Estado de Investigacion, Desarrollo e Innovacion and Programa Consolider-Ingenio 2010, Spain; the Swiss Funding Agencies (ETH Board, ETH Zurich, PSI, SNF, UniZH, Canton Zurich, and SER); the National Science Council, Taipei; the Thailand Center of Excellence in Physics, the Institute for the Promotion of Teaching Science and Technology of Thailand, Special Task Force for Activating Research and the National Science and Technology Development Agency of Thailand; the Scientific and Technical Research Council of Turkey, and Turkish Atomic Energy Authority; the National Academy of Sciences of Ukraine, and State Fund for Fundamental Researches, Ukraine; the Science and Technology Facilities Council, UK; the US Department of Energy, and the US National Science Foundation. Individuals have received support from the Marie-Curie programme and the European Research Council and EPLANET (European Union); the Leventis Foundation; the A. P.; r Sloan Foundation; the Alexander von Humboldt Foundation; the Belgian Federal Science Policy Office; the Fonds pour la Formation la Recherche dans l'Industrie et dans l'Agriculture (FRIA-Belgium); the Agentschap voor Innovatie door Wetenschap en Technologie (IWT-Belgium); the Ministry of Education, Youth and Sports (MEYS) of Czech Republic; the Council of Science and Industrial Research, India; the Compagnia di San Paolo (Torino); the HOMING PLUS programme of Foundation for Polish Science, cofinanced by EU, Regional Development Fund; and the Thalis and Aristeia programmes cofinanced by EU-ESF and the Greek NSRF; and the royal patronage of H. R. H. Princess Maha Chakri Sirindhorn of Thailand.","136","160","84","0",NULL,NULL,NULL,NULL,NULL,NULL,"4,55","1763"
"9ebca964-f90b-41c0-95a8-6836b9564047","11147/3529","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/3529/1/T001056.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Zeybek, Ayça",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Şanlı Mohamed, Gülşah","rp00090",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chemotherapy is a major therapeutic approach for treatment of a wide range of cancers. But unfortunately, this therapeutic approach has got a lot of side effects on healthy tissues as well as cancerous cells. Although doxorubicin is one of the most potent and widely used anticancer drugs, it has some side effects on healthy tissues, as well. Therefore, most researchers have studied various doxorubicin carrier systems for targeted delivery. For this purpose, doxorubicin loaded magnetic albumin nanospheres (M-DOX-BSA-NPs) were synthesized. The main objective of this project was basically to determine the cytotoxic, apoptotic and cell cycle effects of BSA-NPs, M-BSA-NPs, DOX, BSA-DOX-NPs and M-DOX-BSA-NPs against prostate and lung cancer cells and compare them. Beside this, it is aimed to understand how cells look like before and after giving doxorubicin and M-DOX-BSA-NPs by using optical microscopy and compare them. Another objective of this project was to determine where M-DOX-BSA-NPs reach out into the cell by using concofal microscopy; and to explore proteinsâ€™ differentiations between control groups and lung and prostate cancer cells in which DOX and M-DOX-BSA-NPs were applied, by proteomic studies. In this study, the experimental results which were also supported by literature findings, demonstrated that M-DOX-BSA-NPs were more toxic than free doxorubicin, and this complex was more effective for prostate cancer cells than lung cancer cells. As a result of this study, it was determined that this complex was synthesized as a target chemotherapy drug delivery system. Accordingly, this complex may affect to other cancer types, and it can be carried out by new drug designers and treatments.","The effect of doxorubicin-albumin magnetic nanoparticles on prostate and lung cancer cells","2012","Master Thesis",NULL,NULL,NULL,NULL,"62","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"548ec39e-1077-4a5b-b7aa-51e5fac33b5d","11147/6512","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6512/1/6512.pdf","WOS:000245769900013","2-s2.0-33947282594",NULL,NULL,NULL,"Q3",NULL,"1469-7807","Journal of Plasma Physics",NULL,"Lee, Jiunhung",NULL,NULL,"Pashaev, Oktay","rp00524",11,"Rogers, Colin",NULL,NULL,"Schief, W. K.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Plasma waves","Darboux transformations","Magnetic fields","Superposition principles",NULL,NULL,"A system of nonlinear equations governing the transmission of uni-axial waves in a cold collisionless plasma subject to a transverse magnetic field is reduced to the recently proposed resonant nonlinear Schrödinger (RNLS) equation. This integrable variant of the standard nonlinear Schrödinger equation admits novel nonlinear superposition principles associated with Bäcklund-Darboux transformations. These are used here, in particular, to construct analytic descriptions of the interaction of solitonic magnetoacoustic waves propagating through the plasma.","The resonant nonlinear Schrödinger equation in cold plasma physics. Application of Bäcklund-Darboux transformations and superposition principles","2007-04","Article",NULL,NULL,"53","63","92","396",NULL,NULL,"{""(READER_COUNT,5)""}","{""(capture,5)"",""(citation,57)"",""(usage,1)""}",5,"{'Researcher': 1, 'Professor > Associate Professor': 3, 'Student  > Ph. D. Student': 1}","1,95","795"
"38922f39-3396-4d8b-882e-db09dad52582","11147/6741","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6741/1/6741.pdf","WOS:000414806200001","2-s2.0-85033779663",NULL,NULL,NULL,"Q2",NULL,"1029-8479","Journal of High Energy Physics",NULL,"CMS Collaboration",NULL,NULL,"Karapınar, Güler","rp01849",11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Large Hadron Collider (LHC)","Compact Muon Solenoid",NULL,NULL,NULL,NULL,"A search for a light pseudoscalar Higgs boson (A) produced in association with bottom quarks and decaying into a muon pair is reported. The search uses 19.7 fb−1 of proton-proton collisions at a center-of-mass energy of 8 TeV, collected by the CMS experiment. No signal is observed in the dimuon mass range from 25 to 60 GeV. Upper limits on the cross section times branching fraction, σ(pp→bb¯A)ℬ(A), are set.[Figure not available: see fulltext.].","Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at ?s=8 TeV","2017-11","Article",NULL,"The Scientific and Technical Research Council of Turkey, and Turkish Atomic Energy Authority","9","13","82","112",NULL,NULL,NULL,NULL,NULL,NULL,"4,10","948"
"f28a0304-46c4-4c58-8282-e6e5447509b1","11147/5234","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/5234/1/5234.pdf","WOS:000321194500025","2-s2.0-84880154397",NULL,NULL,NULL,"Q1",NULL,"1089-7798","IEEE Communications Letters",NULL,"Atakan, Barış","rp00038",17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Molecular communications","Light transmission","Achievable rate","Nanonetworks","Optimal transmission",NULL,"Molecular communication (MC) is a promising nanoscale communication paradigm that enables nanomachines to share information by using messenger mo\-le\-cu\-les. In this paper, an expression for the achievable rate in MC is first given. Then, using this expression, an optimal transmission probability is developed to maximize the MC rate. Numerical results show that the MC rate is time-dependent and the molecules freely wandering in the medium negatively affect the MC performance. However, the proposed optimal transmission probability is shown to maximize the MC rate.","Optimal transmission probability in binary molecular communication","2013","Article",NULL,NULL,"22","19","604","170","31","{2014: 4, 2015: 1, 2016: 7, 2017: 6, 2018: 3, 2019: 8, 2020: 2}","{""(READER_COUNT,18)""}","{""(capture,18)"",""(citation,23)"",""(usage,5)""}",18,"{'Professor > Associate Professor': 1, 'Researcher': 3, 'Student  > Master': 1, 'Student  > Ph. D. Student': 7, 'Student  > Bachelor': 1, 'Student  > Doctoral Student': 3, 'Other': 1}","4,52","1261"
"ce90b042-179b-429c-a5eb-55167085613b","11147/6808","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6808/1/6808.pdf","WOS:000339167100007","2-s2.0-84903649107",NULL,NULL,NULL,"Q2",NULL,"1565-1339","International Journal of Nonlinear Sciences and Numerical Simulation",NULL,"Aslan, İsmail","rp00128",11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Brusselator model","(G′/G)-expansion method","Fractional calculus",NULL,NULL,NULL,"It is well known that many models in nonlinear science are described by fractional differential equations in which an unknown function appears under the operation of a derivative of fractional order. In this study, we propose a reaction-diffusion Brusselator model from the viewpoint of the Jumarie's modified Riemann-Liouville fractional derivative. Based on the (G'/G)-expansion method, various kinds of exact solutions are obtained. Our results could be used as a starting point for numerical procedures as well.","Analytic investigation of a reaction-Diffusion brusselator model with the time-space fractional derivative","2014-04","Article",NULL,NULL,"12","12","452","142","28","{2016: 1, 2017: 5, 2018: 4, 2019: 7, 2020: 7, 2021: 3}","{""(READER_COUNT,3)""}","{""(capture,3)"",""(citation,14)"",""(usage,1)""}",3,"{'Other': 1, 'Professor': 2}","1,49","437"
"aea7c25f-64b1-43f1-9acd-d17b3f49059e","11147/6823","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6823/1/6823.pdf","WOS:000373729000002","2-s2.0-84929457580",NULL,NULL,NULL,"Q3",NULL,"1865-0929","Communications in Computer and Information Science",NULL,"Kumova, Bora İsmail","rp02905",13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fuzzy logic","Ontology learning","Relational database systems","Syllogistic reasoning",NULL,NULL,"Existing standards for crisp description logics facilitate information exchange between systems that reason with crisp ontologies. Applications with probabilistic or possibilistic extensions of ontologies and reasoners promise to capture more information, because they can deal with more uncertainties or vagueness of information. However, since there are no standards for either extension, information exchange between such applications is not generic. Fuzzy-syllogistic reasoning with the fuzzy-syllogistic system4S provides 2048 possible fuzzy inference schema for every possible triple concept relationship of an ontology. Since the inference schema are the result of all possible set-theoretic relationships between three sets with three out of 8 possible fuzzy-quantifiers, the whole set of 2048 possible fuzzy inferences can be used as one generic fuzzy reasoner for quantified ontologies. In that sense, a fuzzy syllogistic reasoner can be employed as a generic reasoner that combines possibilistic inferencing with probabilistic ontologies, thus facilitating knowledge exchange between ontology applications of different domains as well as information fusion over them.","Generating ontologies from relational data with fuzzy-syllogistic reasoning","2015","Article",NULL,NULL,"4","4","114","130",NULL,NULL,"{""(READER_COUNT,6)""}","{""(capture,6)"",""(citation,5)""}",6,"{'Student  > Master': 1, 'Student  > Doctoral Student': 1, 'Professor > Associate Professor': 1, 'Student  > Ph. D. Student': 1}","0,56","188"
"68de2716-1a1b-416d-8dfc-58bac916bf16","11147/7511","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/7511/1/T002063.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Döşemeci, Mete Merthan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ayav, Tolga","rp00027",13,NULL,NULL,NULL,"IoT platforms","Role-based  access control","Attribute based access control","Cloud platforms",NULL,NULL,"IoT, son yıllarda hem endüstride hem de bilim dünyasında büyük ilgi gördü. Ana fikir, fiziksel dünyayı dijital dünya ile birleştirmektir. Sensörler fiziksel dünyayı okur ve işlenebilir veri sunar. Bu verinin güvenceye alınması gerekiyor. Şu anda, bulut tabanlı IoT platformlarının çoğu, cihazlara erişimi kontrol etmek için kullanılan yaklaşımlardan biri olan Rol Tabanlı Erişim Kontrolü (RBAC) kullanıyor. Bazı durumlarda RBAC,
IoT’nin sürekli değişen şartlarını yerine getirmede yetersizdir. ABAC (Özellik Tabanlı Erişim Kontrolü), doldurma için yeterli olabilir. Ancak ABAC daha yüksek düzeyde bakım gerektirir. Hem RBAC’i hem de ABAC’in avantajlarını kullanan bir erişim kontrol yöntemi uygulamak istedik. Buna OBAC (Operasyon Bazlı Erişim Kontrolü) adını verdik. Yetkilendirme, takma ve oynatma tarzındadır. Bu şekilde uyguladık çünkü; Bulut platformları için tasarlandı ve erişim kontrol yöntemleri arasında kolayca geçiş yapmak
istedik. Deneyin sonuçları, önerilen erişim kontrolünün (OBAC) diğer erişim kontrol yöntemleri arasında minimum gecikme ve yönetim adımlarına sahip olduğunu göstermektedir.","Implementation and performance analysis of contex-aware role-based access controls for cloud-based IoT platform","2019-09","Master Thesis",NULL,NULL,NULL,NULL,"100","154",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"fede2a62-cdbb-4d14-9746-66bc32e2cec3","11147/7871","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/7871/1/10.1007@978-3-030-11641-543.pdf",NULL,"2-s2.0-85061393439",NULL,NULL,NULL,"Q3",NULL,"1865-1348","Lecture Notes in Business Information Processing",NULL,"Bandara, Madhushi",NULL,NULL,"Behnaz, Ali",NULL,NULL,"Rabhi, Fethi A.",NULL,NULL,"Demirörs, Onur","rp00032",13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Analytics process","Ontology","Requirements",NULL,NULL,NULL,"Comprehensively describing data analytics requirements is becoming an integral part of developing enterprise information systems. It is a challenging task for analysts to completely elicit all requirements shared by the organization’s decision makers. With a multitude of data available from e-commerce sites, social media and data warehouses selecting the correct set of data and suitable techniques for an analysis itself is difficult and time-consuming. The reason is that analysts have to comprehend multiple dimensions such as existing analytics techniques, background knowledge in the domain of interest and the quality of available data. In this paper, we propose to use semantic models to represent different spheres of knowledge related to data analytics space and use them to assist in analytics requirements definition. By following this approach users can create a sound analytics requirements specification, linked with concepts from the operation domain, available data, analytics techniques and their implementations. Such requirements specifications can be used to drive the creation and management of analytics solutions, well aligned with organizational objectives. We demonstrate the capabilities of the proposed method by applying on a data analytics project for house price prediction. © 2019, Springer Nature Switzerland AG.","From requirements to data analytics process: An ontology-based approach","2019","Conference Object",NULL,NULL,"4","0","120","4","12","{2018: 2, 2019: 2, 2020: 3, 2021: 4, 2022: 1}","{""(READER_COUNT,22)""}","{""(capture,22)"",""(citation,7)""}",22,"{'Professor > Associate Professor': 1, 'Researcher': 1, 'Student  > Master': 6, 'Student  > Ph. D. Student': 1, 'Professor': 2, 'Student  > Bachelor': 4, 'Student  > Doctoral Student': 1}","0,94","260"
"ed3af0e1-49c1-4b64-8bdc-aece96dee241","11147/6566","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6566/1/T001600.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dim, Didem",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kazanasmaz, Zehra Tuğçe","rp00142",25,NULL,NULL,NULL,"Daylighting","Architecture integration","Renewable energy resources","Integrated  systems","Building Integrated Photovoltaics (BIPVs)",NULL,"Enerji kaynaklarının tüketimi endüstriyel devrimler ile artmış olup günümüzde de arış
göstererek devam etmektedir. Nitekim bu olumsuz yöndeki artışın en büyük
sonuçlarından biri de küresel ısınmadır. Bu nedenle tükenebilir doğal enerji
kaynaklarının (su, madenler, fosil yakıtlar, vb.) daha idareli tüketimi için çalışmalar
yapılmakta, bunun yanı sıra da güneş ve rüzgâr enerjisi gibi yenilenebilir enerji
kaynaklarının daha yaygın ve doğru kullanılması için de çalışmalar ve uygulamalar
yapılmaktadır. Bu çalışma “mimarlıkta bütünleşme” kavramının irdelenmesiyle ortaya
çıkmıştır. Günümüzde yenilenebilir enerji kaynakları kullanımının zorunlu ve pozitif
yöndeki artışı, bina ile entegre (bütünleşik) enerji sistemlerinin ortaya çıkmasına neden
olmuştur. Dolayısıyla, yapı ve ekosistem arasında bütünleşmeyi sağlayan alt sistemler
ile yenilenebilir enerji kaynakları daha aktif halde kullanılmaya başlanmıştır.
Yenilenebilir enerji kaynakları, enerji için doğal süreçlerden yararlanılan ve kaynakların
tüketildiğinden daha hızlı bir şekilde kendini yenileyebildiği enerji kaynaklarıdır. Güneş
enerjisi, rüzgâr enerjisi, jeotermal enerjisi başlıca yenilenebilir enerji kaynaklarındandır.
Bu çalışmada yenilenebilir enerji kaynaklarının en başında olan güneş enerjisi ve bina
ile entegrasyosu sonucu oluşan alt sistemler olan doğal aydınlatma sistemleri ve
fotovoltaiklerin günümüzdeki uygulamaları incelenmiştir. Araştırma sırasında
sistemlerin bina ile bütünleşme şekil ve düzeyleri, tasarım ve yapısal özellikleri ve
enerjisinin nasıl kullanıldığı incelenmiş ve tablolar oluşturularak gösterilmiştir. Sonuç
olarak bütünleşme şekli ve özelliklerinin yapı formu, çevresel faktörler ve yapının
gereksinimlerine göre farklılaştığı görülmüştür.","Overview and discussion on recent applications of building integrated daylighting systems and photovoltaics","2017-07","Master Thesis",NULL,NULL,NULL,NULL,"66","254",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5251b14a-b609-4814-a8ca-21d47369a7e9","11147/3941","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/3941/1/T000712.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Yavuzdurmaz, Hatice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Harsa, Şebnem","rp00075",18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Probiotics mean live microorganisms that have beneficial effects on their host.s health. Although probiotic strains can be isolated from many sources; for human applications the main criteria is being human origin.Breast milk is an important nutrient source for neonates. Lots of studies showed that this fluid has beneficial effects on the health of neonates. One reason of being beneficial is explaining by the microflora of human breast milk including beneficial lactic acid bacteria.In this study, isolates were identified by biochemical and molecular characterization and also probiotic properties of lactic acid bacteria, isolated from human milk were investigated.Three of the isolates were observed as potential probiotic. Two of them are bacilli and the other is cocci. These isolates showed resistance to stomach pH (pH 3,0), tolerance against 0,3% bile concentration and antimicrobial activity against Salmonella thyphimurium CCM 5445, Escherichia coli O157:H7 NCTC 129000 and Escherichia coli NRRL B-3008. After investigation the probiotic properties of these isolates, they were identified by biochemical characterization techniques and molecular identification by using amplification and restriction fragment length polymorphism (RFLP) of 16S ribosomal DNA (rDNA) and 16S sequencing. Two lactobacilli were identified as Lactobacillus oris and Lactobacillus fermentum. In the light of this study, it is observed that, human milk is a source of potential probiotic strains.","Isolation, characterization, determination of probiotic properties of lactic acid bacteria from human milk","2007","Master Thesis",NULL,NULL,NULL,NULL,"406","318",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
